time,steering
1627339853.695979118,11.344564344
1627339853.729507446,11.344564344
1627339853.761502266,11.459155903
1627339853.795485020,11.573747462
1627339853.829721689,11.688339021
1627339853.861747503,11.974817918
1627339853.895715952,12.375888375
1627339853.929009676,12.662367272
1627339853.962414503,12.948846170
1627339853.997491598,12.948846170
1627339854.029392242,12.948846170
1627339854.062896252,12.948846170
1627339854.097277403,12.948846170
1627339854.131106377,12.948846170
1627339854.163428783,12.948846170
1627339854.198083401,12.948846170
1627339854.231765032,12.891550390
1627339854.263720989,12.490479934
1627339854.298637390,11.573747462
1627339854.331949711,10.657014989
1627339854.364117861,10.198648753
1627339854.399477720,9.281916281
1627339854.432360649,8.479775368
1627339854.465245008,7.849521793
1627339854.500350237,6.990085101
1627339854.532077074,6.359831526
1627339854.565258026,6.187944187
1627339854.600309134,6.187944187
1627339854.633319139,6.187944187
1627339854.665238857,6.187944187
1627339854.699461699,6.187944187
1627339854.733726263,6.245239967
1627339854.766727448,6.646310424
1627339854.800806046,6.990085101
1627339854.834322929,6.990085101
1627339854.867008448,6.990085101
1627339854.901297569,6.990085101
1627339854.934954166,6.875493542
1627339854.967499971,6.760901983
1627339855.000738382,6.646310424
1627339855.034954071,6.589014644
1627339855.067776203,6.359831526
1627339855.101999521,6.245239967
1627339855.134461641,6.245239967
1627339855.168239355,6.187944187
1627339855.202264309,6.187944187
1627339855.235674858,5.786873731
1627339855.268583059,5.156620156
1627339855.302719116,4.698253920
1627339855.335923433,4.068000345
1627339855.368798018,3.781521448
1627339855.402121067,3.552338330
1627339855.435597420,3.552338330
1627339855.468666792,3.552338330
1627339855.503671169,3.552338330
1627339855.536953688,3.552338330
1627339855.569284678,3.552338330
1627339855.603091240,3.380450991
1627339855.636274576,3.093972094
1627339855.669718742,3.093972094
1627339855.704547644,2.979380535
1627339855.737866640,2.177239621
1627339855.770296812,1.375098708
1627339855.804942369,0.057295780
1627339855.838330507,-0.572957795
1627339855.870910406,-1.546986047
1627339855.905344963,-2.177239621
1627339855.938728094,-2.578310078
1627339855.970939636,-3.265859432
1627339856.004898310,-4.354479243
1627339856.038301229,-5.156620156
1627339856.071688175,-6.474423085
1627339856.106728077,-7.792226014
1627339856.139675140,-8.651662706
1627339856.172117710,-10.198648753
1627339856.205755949,-11.058085446
1627339856.239346266,-12.490479934
1627339856.272511721,-13.980170201
1627339856.306206226,-14.954198453
1627339856.340564489,-16.386592941
1627339856.372969866,-17.647100090
1627339856.407779932,-18.391945224
1627339856.441123486,-19.251381916
1627339856.473363161,-19.767043932
1627339856.508239031,-20.168114389
1627339856.541546822,-20.454593286
1627339856.573705196,-20.569184845
1627339856.608740568,-20.798367963
1627339856.642137051,-20.798367963
1627339856.674373150,-20.798367963
1627339856.709135294,-20.683776404
1627339856.742433071,-20.683776404
1627339856.775233507,-20.683776404
1627339856.808490515,-20.798367963
1627339856.843184233,-20.970255302
1627339856.875051498,-21.199438420
1627339856.910148859,-21.485917317
1627339856.942659140,-21.772396215
1627339856.976540804,-22.173466672
1627339857.009949684,-22.459945569
1627339857.044169188,-22.975607585
1627339857.077021360,-23.147494923
1627339857.111404419,-23.491269600
1627339857.145241976,-23.548565380
1627339857.177647591,-23.548565380
1627339857.210989714,-23.548565380
1627339857.244726896,-23.548565380
1627339857.278310776,-23.777748498
1627339857.312615395,-23.777748498
1627339857.346297503,-23.777748498
1627339857.377501726,-23.777748498
1627339857.412866592,-23.777748498
1627339857.446077108,-23.777748498
1627339857.478085756,-23.777748498
1627339857.513379335,-23.777748498
1627339857.546639919,-23.892340057
1627339857.579459190,-24.064227395
1627339857.613682985,-24.579889411
1627339857.646904945,-25.496621883
1627339857.679728508,-26.184171237
1627339857.713067293,-27.444678387
1627339857.747878790,-28.762481316
1627339857.779988050,-29.679213788
1627339857.813288450,-30.997016717
1627339857.847573042,-31.799157630
1627339857.880160093,-32.887777441
1627339857.914816618,-33.976397251
1627339857.948351383,-34.549355046
1627339857.980520964,-35.466087519
1627339858.015227556,-36.153636873
1627339858.048601151,-36.669298888
1627339858.080874205,-37.299552463
1627339858.115852356,-37.872510258
1627339858.149039507,-38.273580715
1627339858.181298494,-38.789242730
1627339858.216062546,-39.476792085
1627339858.249638319,-39.877862541
1627339858.281946421,-40.450820336
1627339858.315521717,-40.966482352
1627339858.349925756,-41.482144367
1627339858.382302761,-41.883214824
1627339858.416071415,-42.169693722
1627339858.450552225,-42.570764178
1627339858.482872963,-42.799947296
1627339858.517808676,-43.201017753
1627339858.551131010,-43.372905091
1627339858.583313465,-43.888567107
1627339858.618077278,-44.346933343
1627339858.651497126,-45.091778477
1627339858.683808804,-45.492848933
1627339858.717573881,-45.893919390
1627339858.751349449,-45.951215169
1627339858.784281969,-45.893919390
1627339858.819182634,-45.893919390
1627339858.852522612,-45.893919390
1627339858.885260344,-45.893919390
1627339858.919527769,-45.893919390
1627339858.953147650,-45.893919390
1627339858.985425949,-45.893919390
1627339859.020057678,-45.893919390
1627339859.054010153,-45.893919390
1627339859.086128473,-45.893919390
1627339859.119767189,-45.893919390
1627339859.153174639,-45.893919390
1627339859.186968803,-45.893919390
1627339859.221201897,-45.893919390
1627339859.254757404,-45.893919390
1627339859.287390471,-45.893919390
1627339859.321586609,-45.893919390
1627339859.355478764,-45.893919390
1627339859.388164043,-45.893919390
1627339859.422224760,-45.893919390
1627339859.455268145,-45.893919390
1627339859.487312317,-45.893919390
1627339859.521171093,-45.893919390
1627339859.554735661,-45.893919390
1627339859.587816238,-45.893919390
1627339859.621629477,-45.893919390
1627339859.655281305,-45.664736272
1627339859.688330412,-45.378257374
1627339859.722249746,-44.748003800
1627339859.757418871,-44.060454446
1627339859.788812876,-43.659383989
1627339859.824419260,-43.372905091
1627339859.857625961,-43.201017753
1627339859.890084505,-43.258313532
1627339859.923314095,-43.258313532
1627339859.958041668,-43.258313532
1627339859.990576982,-43.258313532
1627339860.024617434,-43.201017753
1627339860.058508396,-43.258313532
1627339860.089996099,-43.201017753
1627339860.125165939,-43.258313532
1627339860.158463478,-43.201017753
1627339860.191195250,-43.201017753
1627339860.225379944,-43.258313532
1627339860.258704185,-43.201017753
1627339860.291793823,-42.799947296
1627339860.325657845,-42.284285281
1627339860.359510660,-41.883214824
1627339860.391732693,-40.851890793
1627339860.425171614,-40.164341439
1627339860.459667444,-39.075721628
1627339860.492107153,-37.872510258
1627339860.526778936,-37.184960904
1627339860.560032606,-36.153636873
1627339860.592580795,-35.466087519
1627339860.627216101,-35.179608621
1627339860.660554171,-35.179608621
1627339860.692723751,-35.179608621
1627339860.727502584,-35.179608621
1627339860.760814428,-35.351495960
1627339860.792932987,-35.752566416
1627339860.826802731,-36.382819991
1627339860.860064030,-37.070369345
1627339860.893601418,-37.586031361
1627339860.928282261,-38.158989156
1627339860.961604595,-38.789242730
1627339860.993876696,-38.961130069
1627339861.028705835,-39.247608966
1627339861.062013149,-39.476792085
1627339861.094348669,-39.591383644
1627339861.129024982,-39.591383644
1627339861.162321806,-39.591383644
1627339861.194399834,-39.591383644
1627339861.229591608,-39.591383644
1627339861.262926340,-39.591383644
1627339861.295666695,-39.591383644
1627339861.329913855,-39.591383644
1627339861.363251686,-39.591383644
1627339861.396175623,-39.591383644
1627339861.430436373,-39.591383644
1627339861.463870764,-39.648679423
1627339861.496972561,-39.648679423
1627339861.531248093,-39.648679423
1627339861.565256119,-39.877862541
1627339861.597469091,-40.278932998
1627339861.630949020,-40.565411895
1627339861.664763451,-40.851890793
1627339861.698036671,-40.966482352
1627339861.731996298,-40.966482352
1627339861.766436577,-40.966482352
1627339861.797524214,-40.966482352
1627339861.831309795,-41.081073911
1627339861.865731955,-41.081073911
1627339861.897998571,-41.081073911
1627339861.931834936,-41.081073911
1627339861.965088606,-41.081073911
1627339861.998524904,-41.081073911
1627339862.033308506,-41.195665470
1627339862.066764593,-41.195665470
1627339862.099080324,-41.195665470
1627339862.133764982,-41.195665470
1627339862.167209387,-41.195665470
1627339862.199440479,-41.252961249
