time,latitude,longitude,altitude,variance_latitude,variance_longitude,variance_altitude
1627339586.442818880,42.523314392,-71.602035673,111.745269775,0.015625000,0.015876000,0.049729000
1627339586.452683687,42.523314392,-71.602035672,111.745285034,0.015625000,0.015876000,0.049729000
1627339586.462644577,42.523314392,-71.602035671,111.745307922,0.015625000,0.015876000,0.049729000
1627339586.472737789,42.523314393,-71.602035673,111.745338440,0.015625000,0.015876000,0.049729000
1627339586.482711554,42.523314393,-71.602035672,111.745353699,0.015625000,0.015876000,0.049729000
1627339586.493074417,42.523314392,-71.602035672,111.745376587,0.015625000,0.015876000,0.049729000
1627339586.502683640,42.523314393,-71.602035673,111.745384216,0.015625000,0.015876000,0.049729000
1627339586.512698412,42.523314393,-71.602035672,111.745399475,0.015625000,0.015876000,0.049729000
1627339586.522774458,42.523314393,-71.602035671,111.745422363,0.015625000,0.015876000,0.049729000
1627339586.533100605,42.523314394,-71.602035673,111.745422363,0.015625000,0.015876000,0.049729000
1627339586.543048859,42.523314394,-71.602035672,111.745445251,0.015625000,0.015876000,0.049729000
1627339586.552692175,42.523314393,-71.602035671,111.745460510,0.015625000,0.015876000,0.049729000
1627339586.562788010,42.523314394,-71.602035673,111.745468140,0.015625000,0.015876000,0.049729000
1627339586.572721481,42.523314394,-71.602035672,111.745491028,0.015625000,0.015876000,0.049729000
1627339586.582724333,42.523314394,-71.602035671,111.745506287,0.015625000,0.015876000,0.049729000
1627339586.592674971,42.523314395,-71.602035672,111.745513916,0.015625000,0.015876000,0.049729000
1627339586.602904797,42.523314394,-71.602035671,111.745529175,0.015625000,0.015876000,0.049729000
1627339586.612719536,42.523314394,-71.602035670,111.745552063,0.015625000,0.015876000,0.049729000
1627339586.623001814,42.523314395,-71.602035672,111.745559692,0.015625000,0.015876000,0.049729000
1627339586.633187294,42.523314395,-71.602035671,111.745574951,0.015625000,0.015876000,0.049729000
1627339586.642716646,42.523314395,-71.602035670,111.745590210,0.015625000,0.015876000,0.049729000
1627339586.652630091,42.523314395,-71.602035672,111.745506287,0.015625000,0.015876000,0.049729000
1627339586.662832737,42.523314395,-71.602035671,111.745529175,0.015625000,0.015876000,0.049729000
1627339586.672808409,42.523314395,-71.602035670,111.745544434,0.015625000,0.015876000,0.049729000
1627339586.682693958,42.523314395,-71.602035672,111.745460510,0.015625000,0.015876000,0.049729000
1627339586.692672729,42.523314395,-71.602035671,111.745475769,0.015625000,0.015876000,0.049729000
1627339586.702739239,42.523314395,-71.602035670,111.745498657,0.015625000,0.015876000,0.049729000
1627339586.712695122,42.523314395,-71.602035672,111.745414734,0.015625000,0.015876000,0.049729000
1627339586.722776651,42.523314395,-71.602035671,111.745429993,0.015625000,0.015876000,0.049729000
1627339586.732758760,42.523314395,-71.602035670,111.745452881,0.015625000,0.015876000,0.049729000
1627339586.742702484,42.523314395,-71.602035672,111.745376587,0.015625000,0.015876000,0.049729000
1627339586.752787828,42.523314395,-71.602035671,111.745391846,0.015625000,0.015876000,0.049729000
1627339586.762775421,42.523314394,-71.602035670,111.745407104,0.015625000,0.015876000,0.049729000
1627339586.772795916,42.523314395,-71.602035672,111.745323181,0.015625000,0.015876000,0.049729000
1627339586.782696486,42.523314395,-71.602035671,111.745338440,0.015625000,0.015876000,0.049729000
1627339586.792620659,42.523314394,-71.602035670,111.745353699,0.015625000,0.015876000,0.049729000
1627339586.802733183,42.523314395,-71.602035672,111.745262146,0.015625000,0.015876000,0.049729000
1627339586.812789440,42.523314395,-71.602035671,111.745277405,0.015625000,0.015876000,0.049729000
1627339586.822799444,42.523314394,-71.602035670,111.745292664,0.015625000,0.015876000,0.049729000
1627339586.832756996,42.523314395,-71.602035672,111.745208740,0.015625000,0.015876000,0.049729000
1627339586.842704773,42.523314395,-71.602035671,111.745223999,0.015625000,0.015876000,0.049729000
1627339586.852658749,42.523314394,-71.602035670,111.745239258,0.015625000,0.015876000,0.049729000
