time,pos_x,pos_y,twist_x,twist_y,twist_z
1627328901.023656845,0.000000000,0.000000000,11.005400000,-4.255200000,0.000000000
1627328901.067610264,0.000000000,0.000000000,11.011700000,-4.249100000,0.000000000
1627328901.067646265,0.000000000,0.000000000,11.020100000,-4.244000000,0.000000000
1627328901.067672968,0.000000000,0.000000000,11.027600000,-4.238000000,0.000000000
1627328901.067692280,0.000000000,0.000000000,11.033500000,-4.230800000,0.000000000
1627328901.070702314,0.000000000,0.000000000,11.039400000,-4.221600000,0.000000000
1627328901.080617428,0.000000000,0.000000000,11.045500000,-4.214100000,0.000000000
1627328901.123611689,0.000000000,0.000000000,11.052300000,-4.208400000,0.000000000
1627328901.123627186,0.000000000,0.000000000,11.060100000,-4.202300000,0.000000000
1627328901.123635769,0.000000000,0.000000000,11.067500000,-4.194300000,0.000000000
1627328901.123647690,0.000000000,0.000000000,11.073700000,-4.187500000,0.000000000
1627328901.167602301,0.000000000,0.000000000,11.078700000,-4.179700000,0.000000000
1627328901.167624712,0.000000000,0.000000000,11.084400000,-4.171100000,0.000000000
1627328901.167633533,0.000000000,0.000000000,11.090900000,-4.163200000,0.000000000
1627328901.167643070,0.000000000,0.000000000,11.098700000,-4.154900000,0.000000000
1627328901.211606503,0.000000000,0.000000000,11.106000000,-4.147700000,0.000000000
1627328901.211621761,0.000000000,0.000000000,11.112900000,-4.140500000,0.000000000
1627328901.211644888,0.000000000,0.000000000,11.119400000,-4.132500000,0.000000000
1627328901.211658239,0.000000000,0.000000000,11.126300000,-4.125200000,0.000000000
1627328901.211668253,0.000000000,0.000000000,11.132300000,-4.117500000,0.000000000
1627328901.255602837,0.000000000,0.000000000,11.138600000,-4.109700000,0.000000000
1627328901.255630970,0.000000000,0.000000000,11.145600000,-4.103300000,0.000000000
1627328901.255646229,0.000000000,0.000000000,11.152100000,-4.095700000,0.000000000
1627328901.255658150,0.000000000,0.000000000,11.159400000,-4.087800000,0.000000000
1627328901.260755539,0.000000000,0.000000000,11.164900000,-4.081500000,0.000000000
1627328901.270730019,0.000000000,0.000000000,11.170100000,-4.074000000,0.000000000
1627328901.311593294,0.000000000,0.000000000,11.177800000,-4.067200000,0.000000000
1627328901.311607361,0.000000000,0.000000000,11.184100000,-4.061100000,0.000000000
1627328901.311617851,0.000000000,0.000000000,11.189200000,-4.055400000,0.000000000
1627328901.311628103,0.000000000,0.000000000,11.196000000,-4.049700000,0.000000000
1627328901.355582952,0.000000000,0.000000000,11.201600000,-4.044000000,0.000000000
1627328901.355593204,0.000000000,0.000000000,11.206400000,-4.038300000,0.000000000
1627328901.355617762,0.000000000,0.000000000,11.212800000,-4.032400000,0.000000000
1627328901.355631828,0.000000000,0.000000000,11.218300000,-4.027700000,0.000000000
1627328901.399585009,0.000000000,0.000000000,11.222700000,-4.022800000,0.000000000
1627328901.399595261,0.000000000,0.000000000,11.228600000,-4.018200000,0.000000000
1627328901.399605989,0.000000000,0.000000000,11.234100000,-4.012800000,0.000000000
1627328901.399615049,0.000000000,0.000000000,11.239300000,-4.007100000,0.000000000
1627328901.443596601,0.000000000,0.000000000,11.245300000,-4.000200000,0.000000000
1627328901.443606615,0.000000000,0.000000000,11.250100000,-3.993100000,0.000000000
1627328901.443617344,0.000000000,0.000000000,11.256700000,-3.986700000,0.000000000
1627328901.443626642,0.000000000,0.000000000,11.263100000,-3.980200000,0.000000000
1627328901.443636656,0.000000000,0.000000000,11.268900000,-3.973600000,0.000000000
1627328901.487606525,0.000000000,0.000000000,11.274100000,-3.967000000,0.000000000
1627328901.487625599,0.000000000,0.000000000,11.278600000,-3.959100000,0.000000000
1627328901.487637758,0.000000000,0.000000000,11.283200000,-3.949700000,0.000000000
1627328901.487646818,0.000000000,0.000000000,11.289100000,-3.941400000,0.000000000
1627328901.490795135,0.000000000,0.000000000,11.294000000,-3.934700000,0.000000000
1627328901.500713825,0.000000000,0.000000000,11.299100000,-3.928100000,0.000000000
1627328901.543605328,0.000000000,0.000000000,11.304000000,-3.921300000,0.000000000
1627328901.543626547,0.000000000,0.000000000,11.308200000,-3.914700000,0.000000000
1627328901.543655634,0.000000000,0.000000000,11.312700000,-3.906900000,0.000000000
1627328901.543670416,0.000000000,0.000000000,11.316700000,-3.901900000,0.000000000
1627328901.591607332,0.000000000,0.000000000,11.322200000,-3.896300000,0.000000000
1627328901.591622829,0.000000000,0.000000000,11.325300000,-3.889700000,0.000000000
1627328901.591632605,0.000000000,0.000000000,11.328400000,-3.885700000,0.000000000
1627328901.591642141,0.000000000,0.000000000,11.332200000,-3.878700000,0.000000000
1627328901.591652870,0.000000000,0.000000000,11.335200000,-3.872500000,0.000000000
1627328901.635594606,0.000000000,0.000000000,11.338400000,-3.868100000,0.000000000
1627328901.635608196,0.000000000,0.000000000,11.342800000,-3.860400000,0.000000000
1627328901.635632277,0.000000000,0.000000000,11.347800000,-3.851300000,0.000000000
1627328901.635645390,0.000000000,0.000000000,11.351800000,-3.844400000,0.000000000
1627328901.640855789,0.000000000,0.000000000,11.357200000,-3.834900000,0.000000000
1627328901.650749207,0.000000000,0.000000000,11.361500000,-3.825900000,0.000000000
1627328901.691601515,0.000000000,0.000000000,11.366400000,-3.818800000,0.000000000
1627328901.691615582,0.000000000,0.000000000,11.371800000,-3.808800000,0.000000000
1627328901.691625595,0.000000000,0.000000000,11.375900000,-3.799800000,0.000000000
1627328901.691637754,0.000000000,0.000000000,11.380700000,-3.792600000,0.000000000
1627328901.735598087,0.000000000,0.000000000,11.385200000,-3.782700000,0.000000000
1627328901.735610962,0.000000000,0.000000000,11.389800000,-3.772900000,0.000000000
1627328901.735618591,0.000000000,0.000000000,11.395400000,-3.764800000,0.000000000
1627328901.735626698,0.000000000,0.000000000,11.400200000,-3.756800000,0.000000000
1627328901.779587984,0.000000000,0.000000000,11.405100000,-3.749600000,0.000000000
1627328901.779602051,0.000000000,0.000000000,11.408800000,-3.742800000,0.000000000
1627328901.779615879,0.000000000,0.000000000,11.411800000,-3.733200000,0.000000000
1627328901.779627562,0.000000000,0.000000000,11.416300000,-3.727000000,0.000000000
1627328901.823593855,0.000000000,0.000000000,11.421300000,-3.721300000,0.000000000
1627328901.823608398,0.000000000,0.000000000,11.425500000,-3.713600000,0.000000000
1627328901.823619366,0.000000000,0.000000000,11.429600000,-3.707000000,0.000000000
1627328901.823631048,0.000000000,0.000000000,11.432300000,-3.701100000,0.000000000
1627328901.823640585,0.000000000,0.000000000,11.436000000,-3.695300000,0.000000000
1627328901.867615223,0.000000000,0.000000000,11.439700000,-3.690100000,0.000000000
1627328901.867656469,0.000000000,0.000000000,11.442900000,-3.683900000,0.000000000
1627328901.867672205,0.000000000,0.000000000,11.446200000,-3.677100000,0.000000000
1627328901.867681742,0.000000000,0.000000000,11.449400000,-3.671000000,0.000000000
1627328901.870842218,0.000000000,0.000000000,11.453600000,-3.664000000,0.000000000
1627328901.880767107,0.000000000,0.000000000,11.457200000,-3.656200000,0.000000000
1627328901.923599243,0.000000000,0.000000000,11.461000000,-3.648000000,0.000000000
1627328901.923615932,0.000000000,0.000000000,11.465000000,-3.640700000,0.000000000
1627328901.923624516,0.000000000,0.000000000,11.469700000,-3.632800000,0.000000000
